k;seed;inf;tim
0;10;0.000000;1.727334
10;21;0.000000;181.140562
20;307;0.000000;448.917293
30;16;0.000000;758.019753
40;274;0.000000;1099.128661
50;370;0.000000;1475.547931
60;200;0.000000;1858.993092
70;354;0.000000;2259.508010
80;255;0.000000;2668.927126
90;140;0.002480;3088.874053
100;119;0.008000;3497.954172
110;111;0.014710;3920.419830
120;98;0.017030;4351.359347
130;84;0.018750;4790.435175
140;76;0.018150;5235.392576
150;67;0.018770;5682.060368
160;50;0.019750;6144.676957
170;44;0.019490;6599.338087
180;13;0.019880;7061.629692
190;19;0.020000;7509.410306
200;7;0.020540;7956.457696
210;147;0.021360;8379.910589
220;136;0.022220;8783.885580
230;144;0.023720;9173.474433
240;150;0.024920;9550.227443
