k;seed;inf;tim
0;10;0.000000;1.595541
10;369;0.000000;18.099107
20;395;0.000000;22.977001
30;395;0.000400;30.833936
40;394;0.001600;43.775452
50;394;0.002800;53.297500
60;23;0.004840;114.582710
70;366;0.009460;154.776482
80;181;0.018340;156.258628
90;236;0.028270;187.360656
100;240;0.033320;154.257180
110;197;0.056660;315.875265
120;236;0.063970;187.082332
130;366;0.073580;259.571879
140;10;0.077070;234.727325
150;13;0.084910;213.031812
160;246;0.095300;238.949741
170;259;0.108720;269.471324
180;16;0.119190;277.945850
190;43;0.122430;244.950575
200;162;0.140640;330.958572
210;318;0.163940;292.284193
220;75;0.187400;292.642412
230;75;0.215070;389.587359
240;220;0.253320;348.120539
250;29;0.258490;285.769397
