k;seed;inf;tim
0;10;0.000000;0.000127
10;297;0.000000;0.391617
20;306;0.000000;0.931957
30;337;0.000000;1.600214
40;327;0.000000;2.303993
50;371;0.000730;3.066964
60;210;0.003290;4.028587
70;181;0.008100;5.284001
80;114;0.015330;6.809081
90;198;0.028060;8.601991
100;293;0.034430;10.561481
110;220;0.051610;12.644413
120;217;0.061550;14.922246
130;227;0.071140;17.310920
140;209;0.072720;19.815745
150;336;0.082800;22.379814
160;264;0.091440;25.043793
170;302;0.104560;27.837008
180;164;0.115210;30.736187
190;105;0.118850;33.706006
200;290;0.135000;36.749551
210;17;0.157890;39.895207
220;94;0.178330;43.151494
230;289;0.209920;46.499235
240;160;0.243220;49.935003
