k;seed;inf;tim
0;449;0.000000;0.003278
10;415;0.000000;0.153195
20;217;0.000000;0.510230
30;189;0.000000;1.055922
40;101;0.000050;1.832688
50;440;0.000690;2.837726
60;138;0.001950;4.190467
70;367;0.004100;5.944896
80;348;0.007760;8.088781
90;306;0.012760;10.700166
100;381;0.019890;13.761185
110;113;0.029360;17.289431
120;225;0.038640;21.306378
130;209;0.049540;25.816760
140;125;0.062430;30.784396
150;62;0.079610;36.225703
160;46;0.100830;42.125868
170;376;0.120250;48.586355
180;387;0.136900;55.674193
190;366;0.154940;63.027807
200;69;0.177020;70.688433
210;116;0.201550;78.720925
220;405;0.239130;87.067067
230;91;0.270500;95.748037
240;118;0.293080;104.745317
250;321;0.314460;114.007917
260;293;0.331940;123.511528
270;45;0.361270;133.259205
280;1136;0.000000;0.000000
