k;seed;inf;tim
0;243;0.000000;0.000105
10;442;0.000000;0.406600
20;353;0.000000;0.944720
30;376;0.000440;1.549041
40;277;0.003020;2.356996
50;222;0.008110;3.411385
60;13;0.014420;4.744119
70;441;0.021280;6.283662
80;320;0.029380;7.995507
90;235;0.035220;9.820721
100;96;0.047320;11.805738
110;17;0.060080;13.926606
120;371;0.072120;16.186278
130;438;0.072810;18.539928
140;424;0.080980;20.960961
150;289;0.094670;23.416981
160;270;0.105360;25.981929
170;367;0.116690;28.641347
180;99;0.121460;31.367942
190;358;0.139820;34.176860
200;211;0.147000;37.070447
210;281;0.166690;40.065185
220;322;0.179640;43.112090
230;43;0.210500;46.226769
240;238;0.235990;49.404764
250;15;0.251940;52.641949
260;4;0.255650;55.923084
270;204;0.267260;59.265547
