k;seed;inf;tim
0;485;0.000000;1.701466
10;457;0.000000;91.603575
20;173;0.000000;280.563593
30;454;0.000000;535.042207
40;491;0.000000;836.998024
50;469;0.000000;1166.711364
60;467;0.000000;1506.300811
70;475;0.000000;1850.281362
80;439;0.000000;2206.742490
90;431;0.000000;2583.919926
100;420;0.000000;2969.561154
110;411;0.000000;3359.315273
120;405;0.000000;3749.199459
130;397;0.000000;4135.665908
140;383;0.000000;4515.502929
150;350;0.000000;4890.879357
160;351;0.000000;5257.568664
170;370;0.000000;5619.341890
180;345;0.000000;5973.793524
190;330;0.000000;6320.166991
200;318;0.000000;6656.529486
210;307;0.000000;6982.784677
220;297;0.000000;7297.358743
230;286;0.000000;7601.362481
240;276;0.000000;7896.343977
