k;seed;inf;tim
0;271;0.000000;0.000029
10;477;0.000000;0.127520
20;429;0.000000;0.411386
30;240;0.000000;0.846896
40;173;0.000000;1.433513
50;444;0.000740;2.136402
60;190;0.027960;2.944880
70;201;0.004520;3.853091
80;199;0.153780;4.844437
90;448;0.239560;5.928883
100;401;0.314650;7.099627
110;162;0.396940;8.330526
120;353;0.467990;9.614296
130;109;0.536010;10.942317
140;181;0.588620;12.314368
150;177;0.679770;13.714772
160;452;0.735680;15.141540
170;348;0.811020;16.583985
180;11;0.857740;18.043506
190;118;0.881360;19.516723
200;373;0.953870;21.000146
210;305;0.980090;22.488644
220;295;0.995750;23.989178
230;291;0.999120;25.502350
240;499;0.999930;27.023651
