k;seed;inf;tim
0;75;0.000000;0.006586
10;474;0.000000;0.143846
20;328;0.000000;4.988199
30;462;0.000000;5.435158
40;173;0.000000;21.062444
50;271;0.000000;21.756232
60;440;0.000000;49.245677
70;197;0.000000;49.995085
80;253;0.000000;89.100964
90;334;0.000000;89.928026
100;319;0.000000;147.571231
110;361;0.000000;148.543361
120;345;0.000000;223.287098
130;337;0.000000;224.339367
140;258;0.000000;316.914670
150;303;0.000000;318.023090
160;429;0.000000;426.567256
170;435;0.000000;427.698403
180;498;0.000000;550.030283
190;363;0.000000;551.201748
200;395;0.000000;693.606358
210;385;0.000000;694.779755
220;366;0.000000;847.157638
230;409;0.000000;848.325292
240;85;0.000000;1024.364298
