k;seed;inf;tim
0;263;0.000000;0.000117
10;474;0.000000;0.143404
20;223;0.000000;0.439303
30;462;0.000000;0.864463
40;465;0.000000;1.424477
50;271;0.000000;2.086597
60;426;0.000000;2.837412
70;176;0.000000;3.630390
80;114;0.000000;4.442407
90;475;0.000000;5.270447
100;404;0.000000;6.113834
110;204;0.004520;6.986677
120;380;0.009660;7.936523
130;150;0.032940;8.964747
140;83;0.074890;10.066028
150;57;0.054490;11.220418
160;169;0.149440;12.423693
170;76;0.144480;13.675044
180;394;0.273810;14.961371
190;230;0.259070;16.286178
200;332;0.372410;17.648125
210;336;0.381520;19.036509
220;480;0.446270;20.451469
230;452;0.491790;21.891614
240;297;0.611900;23.353310
250;412;0.692500;24.835186
260;239;0.757680;26.332789
270;455;0.751030;27.846413
280;286;0.800260;29.369413
290;43;0.928760;30.898973
300;113;0.956840;32.431890
310;457;0.984290;33.971120
320;153;0.998560;35.513122
330;276;0.999930;37.062703
340;292;1.000000;38.615748
350;222;1.000000;40.171225
360;395;1.000000;41.729484
370;236;1.000000;43.290918
380;420;1.000000;44.853996
390;199;1.000000;46.421078
400;61;1.000000;47.994011
410;356;1.000000;49.571209
420;39;1.000000;51.151501
430;460;1.000000;52.736875
440;321;1.000000;54.327980
450;443;1.000000;55.923699
460;108;1.000000;57.524804
470;122;1.000000;59.131055
480;220;1.000000;60.744262
490;243;1.000000;62.364153
