k;seed;inf;tim
0;263;0.000000;0.003783
10;97;0.000000;0.649181
20;242;0.000000;2.010619
30;399;0.000000;3.917028
40;126;0.000000;6.348928
50;413;0.000000;9.199263
60;201;0.000000;12.407604
70;183;0.000000;15.801275
80;159;0.000000;19.280285
90;491;0.000000;22.849772
100;2;0.000000;26.491866
110;204;0.003860;30.245639
120;257;0.014910;34.293775
130;252;0.047970;38.659457
140;189;0.082460;43.324940
150;164;0.084050;48.203195
160;289;0.164860;53.285646
170;49;0.150480;58.574333
180;230;0.243170;64.008626
190;314;0.287830;69.581226
200;101;0.310140;75.283321
210;78;0.455160;81.084508
220;191;0.458380;86.996634
230;210;0.516650;93.009667
240;127;0.618770;99.087838
250;116;0.695110;105.243827
260;1056;0.000000;0.000000
