k;seed;inf;tim
0;499;0.000000;0.002866
10;475;0.000000;0.322190
20;427;0.000000;1.139789
30;251;0.000000;2.474109
40;208;0.000000;4.149992
50;170;0.000000;6.203580
60;2;0.000000;8.551053
70;258;0.014600;11.167800
80;417;0.056030;14.124484
90;389;0.117310;17.308515
100;144;0.210620;20.733408
110;158;0.266690;24.368111
120;435;0.355760;28.170914
130;454;0.472000;32.132457
140;217;0.583580;36.226763
150;407;0.687220;40.416771
160;47;0.758050;44.676183
170;48;0.823690;48.989670
180;486;0.890750;53.337396
190;281;0.939820;57.720690
200;379;0.965990;62.133040
210;342;0.981880;66.569897
220;149;0.990610;71.017275
230;98;0.998270;75.481613
240;487;0.999970;79.965120
