k;seed;inf;tim
0;263;0.000000;0.000120
10;474;0.000000;0.207122
20;485;0.000000;0.642382
30;398;0.000000;1.254318
40;466;0.000000;2.053921
50;142;0.000000;3.000900
60;183;0.000000;4.071124
70;404;0.000000;5.204857
80;159;0.000000;6.366898
90;176;0.000000;7.558279
100;11;0.000000;8.774890
110;489;0.001700;10.028726
120;257;0.018270;11.383189
130;55;0.024080;12.842065
140;189;0.094240;14.402997
150;164;0.098710;16.031439
160;169;0.172180;17.724704
170;49;0.255780;19.484581
180;202;0.304070;21.292460
190;230;0.294700;23.150763
200;10;0.290880;25.051585
210;400;0.447950;26.988056
220;353;0.448470;28.961523
230;161;0.460010;30.965400
240;405;0.633490;32.992961
250;234;0.683670;35.048148
