k;seed;inf;tim
0;19;0.000000;0.446017
10;112;0.000000;18.554031
20;275;0.000000;51.356406
30;293;0.000000;92.458105
40;282;0.000000;139.377980
50;287;0.000000;191.167562
60;144;0.000000;247.135773
70;274;0.000090;307.386245
80;27;0.000860;374.606904
90;62;0.001710;450.839145
100;153;0.004090;535.631699
110;110;0.007410;627.898180
120;116;0.013460;725.679608
130;204;0.019720;827.188528
140;174;0.031460;930.757452
150;52;0.046740;1034.582588
160;257;0.060390;1136.882966
170;192;0.077220;1237.131989
180;233;0.091310;1334.042470
