k;seed;inf;tim
0;13;0.000000;0.000114
10;230;0.000000;0.091597
20;332;0.000000;0.264182
30;138;0.000000;0.489568
40;274;0.000000;0.753154
50;85;0.000000;1.045812
60;221;0.000000;1.357490
70;107;0.000000;1.688585
80;204;0.001220;2.052248
90;57;0.005080;2.500934
100;277;0.014900;3.051304
110;276;0.025950;3.679110
120;200;0.040670;4.374805
130;50;0.059600;5.139822
140;280;0.073950;5.961490
150;241;0.080440;6.834458
160;151;0.107840;7.752183
170;266;0.132670;8.731481
180;14;0.164120;9.766171
190;239;0.204910;10.859140
200;41;0.242460;12.018567
210;295;0.273060;13.232659
