k;seed;inf;tim
0;349;0.000000;0.006277
10;329;0.000000;0.139690
20;306;0.000000;0.374628
30;288;0.000000;0.739525
40;300;0.000000;1.210296
50;186;0.000000;1.779661
60;157;0.000000;2.458169
70;135;0.000000;3.278248
80;64;0.000000;4.208929
90;276;0.000540;5.247550
100;3;0.001790;6.435851
110;312;0.004980;7.803435
120;241;0.009930;9.350680
130;293;0.020930;11.129872
140;218;0.034470;13.159795
150;117;0.059200;15.401443
160;331;0.075230;17.877517
170;219;0.100760;20.585240
180;138;0.119230;23.534788
190;40;0.166250;26.714587
200;27;0.223600;30.146924
210;267;0.264950;33.803973
220;695275088;0.000000;0.000000
