k;seed;inf;tim
0;10;0.000000;0.000042
10;363;0.000000;0.072596
20;335;0.000000;0.189806
30;257;0.000000;0.342335
40;153;0.000000;0.537544
50;108;0.000000;0.784295
60;311;0.000460;1.085654
70;164;0.001820;1.455006
80;141;0.004780;1.888597
90;121;0.011060;2.398937
100;77;0.015520;2.993440
110;231;0.021080;3.661619
120;74;0.029760;4.402668
130;265;0.046560;5.220569
140;376;0.062270;6.121631
150;196;0.088150;7.107564
160;351;0.117780;8.176045
170;65;0.141070;9.318189
180;23;0.174370;10.526194
190;349;0.230790;11.833354
200;235;0.279680;13.228327
210;62;0.332640;14.706179
220;344;0.360790;16.256746
230;90;0.418800;17.875254
240;225;0.462190;19.556805
250;263;0.007812;21.290218
