k;seed;inf;tim
0;10;0.000000;0.006242
10;14;0.000000;0.310458
20;0;0.000000;0.906699
30;335;0.000000;1.766297
40;298;0.000000;2.797896
50;330;0.000000;3.917103
60;340;0.001640;5.164784
70;49;0.004270;6.774627
80;394;0.013220;8.745956
90;240;0.026590;11.029633
100;353;0.031370;13.568771
110;63;0.043200;16.340813
120;164;0.059280;19.355912
130;279;0.067570;22.529952
140;339;0.076250;25.886421
150;142;0.095890;29.412875
160;105;0.116930;33.155511
170;225;0.142780;37.105721
180;154;0.136770;41.258717
190;204;0.209780;45.752127
200;230;0.247060;50.467903
210;290;0.264010;55.232554
220;179;0.303010;60.175381
230;260;0.334400;65.297904
240;300;0.360980;70.543724
250;1617;0.000000;0.000000
