k;seed;inf;tim
0;10;0.000000;0.000146
10;190;0.000000;0.105769
20;389;0.000000;0.305842
30;168;0.000000;0.598843
40;363;0.000000;0.951867
50;0;0.000000;1.336921
60;229;0.002430;1.768979
70;268;0.005440;2.318226
80;313;0.013460;2.992946
90;328;0.027440;3.775010
100;221;0.031720;4.652394
110;74;0.047270;5.613489
120;377;0.059240;6.657305
130;331;0.069780;7.761061
140;38;0.075470;8.929194
150;352;0.100350;10.154561
160;262;0.119780;11.454378
170;48;0.145540;12.823803
180;158;0.159180;14.265237
190;64;0.214160;15.791077
200;290;0.247050;17.401348
210;8;0.268770;19.070502
220;380;0.306430;20.805024
230;65;0.341940;22.598849
240;387;0.374880;24.447282
