k;seed;inf;tim
0;271;0.054150;0.000032
10;232;0.149725;1.760636
20;159;0.208650;3.627450
30;496;0.257350;5.556820
40;213;0.320375;7.532875
50;451;0.345500;9.543455
60;205;0.376325;11.589815
70;145;0.420275;13.668293
80;182;0.460500;15.776674
90;197;0.482825;17.913195
100;466;0.518150;20.074859
110;345;0.538700;22.261824
120;473;0.570850;24.465228
130;123;0.597250;26.686339
140;370;0.613075;28.927267
150;359;0.641025;31.187652
160;457;0.663800;33.460911
170;218;0.688025;35.752269
180;482;0.706250;38.054686
190;254;0.722500;40.370364
