k;seed;inf;tim
0;499;0.000000;0.003663
10;384;0.000210;0.491130
20;157;0.001660;1.535264
30;446;0.004020;3.297299
40;475;0.009440;6.113124
50;387;0.017760;10.128327
60;432;0.028590;15.415461
70;483;0.044370;22.032002
80;98;0.067360;29.698064
90;229;0.096420;38.225979
100;459;0.122920;47.543896
110;174;0.150570;57.641082
120;9;0.187450;68.429292
130;456;0.258840;79.908222
140;331;0.304010;92.026696
150;296;0.335470;104.634060
160;121;0.374250;117.690191
170;392;0.398760;131.165794
180;329;0.425210;144.973009
190;489;0.454400;159.078069
200;388;0.485270;173.426355
210;73;0.503900;187.975818
220;274;0.519700;202.682753
230;260;0.527320;217.532697
240;281;0.546420;232.497179
250;337;0.559960;247.627609
260;358;0.573120;262.901887
270;220;0.597090;278.312852
280;327;0.625590;293.887600
290;334;0.666560;309.537264
300;226;0.698740;325.294401
310;257;0.725850;341.151213
320;418;0.744930;357.103815
330;481;0.755820;373.124361
340;394;0.768250;389.135801
350;315;0.780060;405.197772
360;29;0.794040;421.277880
370;51;0.820150;437.413547
380;126;0.847070;453.587747
390;297;0.867130;469.802641
400;383;0.876710;486.021922
410;423;0.883710;502.231541
420;187;0.889440;518.428615
430;261;0.898530;534.643967
440;39;0.919270;550.837612
450;138;0.937890;567.055822
460;55;0.946420;583.202501
470;338;0.965210;599.335175
480;227;0.977460;615.421780
490;87;0.989800;631.490803
