k;seed;inf;tim
0;271;0.000000;0.089374
10;468;0.000000;1.036682
20;499;0.000000;2.427566
30;499;0.000000;4.304741
40;499;0.000000;6.824319
50;476;0.000000;10.315964
60;397;0.000000;15.099891
70;496;0.000000;21.583739
80;364;0.000000;30.023325
90;360;0.000000;40.928038
100;283;0.000000;54.624437
110;498;0.000000;71.688132
120;495;0.000000;92.788717
130;475;0.002000;118.701730
140;488;0.000000;150.289786
150;306;0.000000;187.819685
160;104;0.002000;231.970351
170;110;0.002000;283.657378
180;367;0.002000;344.333096
190;83;0.002000;414.989232
200;416;0.000000;496.697401
