k;seed;inf;tim
0;122;0.000000;4.230283
1;1;0.000000;4.242951
2;344;0.000000;4.258706
3;230;0.000100;4.278020
4;486;0.000100;4.299175
5;476;0.000200;4.321628
6;253;0.000300;4.345194
7;494;0.000500;4.371009
8;46;0.000600;4.399086
9;437;0.001200;4.433269
10;91;0.002200;4.471331
11;379;0.002900;4.511410
12;161;0.003100;4.555125
13;237;0.003500;4.599673
14;306;0.003100;4.648831
15;258;0.003500;4.699093
16;90;0.005500;4.754401
17;351;0.005600;4.814931
18;468;0.005300;4.878061
19;71;0.005900;4.946537
20;481;0.007600;46.995440
21;483;0.005800;47.078909
22;246;0.007300;47.166349
23;222;0.007300;47.254749
24;405;0.006300;47.347663
25;304;0.005800;47.443180
26;486;0.006600;47.538742
27;200;0.006000;47.635762
28;462;0.005900;47.735259
29;163;0.007600;47.840147
30;269;0.006900;47.950037
31;231;0.008000;48.062633
32;60;0.017900;48.179832
33;205;0.018000;48.297476
34;467;0.017400;48.419197
35;2;0.018100;48.542400
36;428;0.018900;48.669937
37;261;0.019100;48.802005
38;495;0.018400;48.937392
39;371;0.020600;49.076554
40;404;0.020400;157.665019
41;95;0.017100;157.814443
42;317;0.020700;157.970057
43;87;0.019700;158.128523
44;437;0.019300;158.289539
45;343;0.022100;158.453572
46;19;0.021400;158.623378
47;279;0.022400;158.795854
48;482;0.023500;158.969436
49;360;0.023600;159.144600
50;45;0.026300;159.324184
51;489;0.024100;159.504769
52;312;0.022800;159.691254
53;61;0.022800;159.882227
54;339;0.020900;160.077899
55;239;0.023100;160.276849
56;289;0.018500;160.478499
57;315;0.021900;160.683402
58;479;0.023500;160.890859
59;30;0.022400;161.101384
60;21;0.024400;393.639407
61;6;0.025200;393.858933
62;47;0.024200;394.082110
63;245;0.025100;394.306813
64;226;0.024600;394.534594
65;62;0.025400;394.765464
66;284;0.025100;394.999298
67;20;0.025700;395.235744
68;485;0.025700;395.472858
69;112;0.023800;395.712110
70;95;0.026100;395.953689
71;39;0.023800;396.200407
72;56;0.025200;396.448278
73;310;0.024300;396.699292
74;465;0.029500;396.952073
75;35;0.026400;397.208992
76;326;0.028400;397.467265
77;327;0.026100;397.729391
78;173;0.023400;397.992102
79;162;0.024800;398.255370
80;246;0.024800;849.447776
81;81;0.028900;849.716145
82;256;0.028100;849.985609
83;27;0.027100;850.256549
84;16;0.029400;850.528961
85;40;0.032800;850.803440
86;5;0.030100;851.078640
87;272;0.030700;851.355139
88;464;0.029900;851.633100
89;300;0.029600;851.912782
90;273;0.029400;852.194174
91;282;0.028900;852.477001
92;293;0.030400;852.760803
93;32;0.029400;853.046279
94;50;0.027600;853.334054
95;99;0.028500;853.622784
96;350;0.029700;853.913388
97;77;0.031000;854.205446
98;37;0.034900;854.498660
99;442;0.029900;854.793448
100;485;0.031700;1641.605415
101;266;0.033900;1641.903502
102;53;0.044600;1642.202359
103;313;0.044200;1642.502644
104;275;0.046700;1642.803711
105;223;0.043700;1643.106731
106;263;0.044500;1643.410691
107;238;0.046300;1643.715966
108;140;0.045700;1644.024197
109;301;0.043400;1644.333512
110;303;0.041900;1644.662969
111;44;0.046100;1644.974193
112;24;0.045200;1645.286514
113;17;0.043400;1645.600233
114;499;0.043900;1645.914937
115;294;0.043000;1646.230437
116;102;0.048300;1646.546746
117;267;0.040800;1646.863820
118;453;0.045900;1647.183282
119;268;0.041100;1647.503407
120;499;0.045300;2996.241275
121;18;0.043900;2996.563598
122;165;0.045800;2996.887921
123;126;0.046800;2997.211890
124;287;0.043600;2997.536925
125;265;0.046100;2997.862745
126;13;0.043500;2998.188477
127;127;0.056400;2998.515841
128;270;0.053500;2998.844287
129;36;0.057900;2999.173805
130;434;0.054000;2999.504085
131;352;0.054300;2999.834663
132;157;0.050900;3000.165489
133;214;0.059000;3000.496665
134;438;0.052800;3000.828150
135;388;0.056100;3001.160177
136;425;0.051000;3001.492400
137;149;0.054700;3001.824894
138;212;0.056100;3002.158022
139;240;0.057600;3002.491511
140;38;0.059500;5018.686989
141;232;0.058200;5019.021765
142;236;0.052000;5019.357328
143;298;0.056900;5019.693541
144;204;0.052800;5020.029355
145;474;0.051500;5020.364930
146;387;0.057000;5020.701207
147;456;0.056400;5021.037807
148;4;0.054600;5021.374579
149;174;0.060500;5021.711509
150;213;0.055500;5022.048900
151;439;0.056800;5022.386515
152;440;0.056300;5022.724498
153;333;0.059600;5023.063124
154;329;0.054700;5023.401803
155;416;0.051500;5023.741150
156;488;0.058800;5024.080615
157;209;0.055200;5024.420810
158;496;0.058000;5024.761404
159;419;0.059500;5025.102021
160;433;0.055100;7743.621113
161;210;0.059800;7743.962987
162;345;0.055600;7744.305100
163;130;0.055200;7744.647739
164;250;0.056800;7744.990692
165;260;0.054000;7745.333925
166;182;0.057500;7745.677658
167;158;0.057200;7746.021939
168;365;0.054900;7746.366561
169;73;0.056800;7746.711295
170;466;0.059100;7747.056118
171;155;0.057600;7747.401271
172;166;0.054400;7747.746462
173;491;0.051000;7748.092128
174;480;0.054200;7748.438142
175;262;0.055100;7748.784327
176;490;0.055800;7749.130748
177;190;0.058300;7749.477487
178;93;0.057200;7749.825026
179;215;0.054500;7750.172699
180;198;0.055200;11275.752285
181;381;0.054800;11276.099942
182;475;0.059000;11276.447954
183;375;0.056100;11276.795982
184;396;0.058500;11277.144284
185;177;0.055700;11277.494171
186;159;0.053400;11277.844067
187;3;0.062100;11278.194381
188;248;0.053600;11278.545107
189;427;0.056900;11278.895773
190;454;0.057700;11279.246762
191;124;0.057500;11279.597972
192;417;0.059500;11279.949557
193;94;0.056100;11280.301134
194;193;0.054500;11280.652957
195;487;0.058100;11281.004072
196;133;0.057400;11281.355242
197;7;0.052400;11281.706388
198;402;0.051200;11282.058179
199;484;0.053700;11282.410646
200;319;0.054800;15736.506690
