k;seed;inf;tim
0;263;0.035440;0.000153
10;230;0.138250;4.814192
20;57;0.206770;9.687211
30;471;0.225870;14.674712
40;468;0.230430;20.019637
50;173;0.270680;25.525530
60;465;0.318060;31.133454
70;2;0.332330;36.779904
80;329;0.336510;42.554898
90;132;0.377060;48.169495
100;278;0.405230;53.747601
110;496;0.428430;59.360456
120;366;0.429340;65.121192
130;111;0.455720;70.704407
140;300;0.474130;76.534392
150;365;0.496590;82.275160
160;348;0.520380;88.143245
170;26;0.550100;93.953504
180;12;0.552680;99.957772
190;443;0.553230;106.307486
200;176;0.562090;112.637498
210;110;0.603370;118.770061
220;262;0.610170;124.861952
230;362;0.614940;130.953724
240;370;0.621100;137.156540
250;313;0.644360;143.566496
260;205;0.665530;149.987786
270;431;0.683710;156.482929
280;38;0.705400;162.813275
290;383;0.712510;169.413775
300;106;0.722120;175.977580
310;177;0.739270;182.354829
320;196;0.745440;188.936921
330;103;0.747440;195.452548
340;267;0.766230;202.118138
350;414;0.778460;208.935546
360;349;0.791760;215.888354
370;440;0.805320;222.986209
380;36;0.811450;230.058569
390;367;0.831190;237.271540
400;76;0.837210;244.217751
410;279;0.850720;251.074133
420;181;0.856520;257.917426
430;420;0.863130;264.726755
440;393;0.873280;271.443748
450;207;0.889670;278.238291
460;172;0.903890;284.993365
470;85;0.926360;291.808758
480;303;0.944720;298.464547
490;135;0.970120;305.103201
