k;seed;inf;tim
0;263;0.158620;0.000166
10;160;0.383310;8.140190
20;380;0.454970;16.124613
30;462;0.507110;24.216600
40;259;0.580240;32.197091
50;188;0.611760;40.304644
60;136;0.646490;48.524965
70;151;0.669150;56.969372
80;116;0.703140;65.333266
90;402;0.712560;73.645805
100;487;0.738550;82.228858
110;492;0.762660;90.676535
120;440;0.771130;99.305852
130;5;0.795220;108.230263
140;306;0.810140;116.665148
150;330;0.823510;125.126513
160;310;0.837780;133.481439
170;237;0.858200;141.907412
180;323;0.869770;150.131997
190;486;0.884600;158.352753
200;109;0.897710;166.730662
210;223;0.904810;175.250579
220;353;0.913690;183.899641
230;182;0.921430;192.508050
240;286;0.930910;200.899854
250;418;0.937050;209.617633
260;249;0.941240;218.271572
270;13;0.946570;226.894821
280;89;0.950970;235.303097
290;371;0.955000;243.980662
300;53;0.959040;252.921248
310;409;0.966300;261.617865
320;110;0.971540;270.223888
330;228;0.975430;278.745981
340;431;0.977640;287.218719
350;400;0.978050;295.979568
360;358;0.980180;304.584928
370;337;0.985430;312.865173
380;436;0.987890;321.739549
390;264;0.989760;330.726284
400;25;0.991830;339.386422
410;166;0.992610;348.221078
420;51;0.994290;357.288927
430;163;0.995130;366.070255
440;179;0.996150;374.538592
450;164;0.998070;383.261778
460;141;0.998770;392.153556
470;181;0.999310;400.939481
480;113;0.999750;409.670736
490;386;0.999910;418.200259
