k;seed;inf;tim
0;263;0.000000;0.000143
10;123;0.000100;0.399575
20;132;0.001350;1.039401
30;383;0.003360;1.961928
40;307;0.007900;3.224779
50;465;0.014100;4.842755
60;230;0.024740;6.756259
70;491;0.028690;8.911392
80;270;0.032910;11.270349
90;464;0.041700;13.951201
100;419;0.056040;16.660418
110;49;0.069360;19.401816
120;467;0.071960;22.288954
130;170;0.072840;25.295068
140;211;0.075570;28.398297
150;102;0.085330;31.487862
160;411;0.098330;34.775141
170;174;0.113270;38.241943
180;186;0.116300;41.909700
190;413;0.118390;45.625325
200;308;0.129660;49.330085
210;31;0.147490;53.180168
220;232;0.160100;57.022426
230;275;0.171470;61.051551
240;209;0.185540;65.168090
250;479;0.209640;69.405803
260;222;0.237910;73.563597
270;165;0.253860;77.736443
280;258;0.256640;82.146243
290;290;0.274790;86.720412
300;201;0.288410;91.475781
310;124;0.289380;96.158879
320;215;0.296280;101.015840
330;66;0.308570;106.104741
340;279;0.315410;111.178069
350;67;0.330970;116.084185
360;21;0.342100;121.257033
370;442;0.345790;126.581461
380;108;0.365200;131.837550
390;321;0.387280;137.192919
400;180;0.428650;142.747389
410;480;0.437020;148.161986
420;22;0.460990;153.578493
430;91;0.473090;159.162732
440;359;0.488340;164.643911
450;414;0.533480;170.035992
460;74;0.584910;175.423459
470;371;0.606740;180.637159
480;172;0.631400;186.069071
490;425;0.694740;191.733684
