k;seed;inf;tim
0;499;0.000000;0.004576
10;143;0.000010;0.331815
20;204;0.001410;1.109739
30;220;0.003720;2.384298
40;401;0.009410;4.223743
50;182;0.015650;6.845269
60;459;0.022280;10.000136
70;170;0.032020;13.886860
80;162;0.041280;18.506902
90;31;0.056540;23.727695
100;202;0.068330;29.568215
110;475;0.081350;36.086971
120;201;0.099000;43.005400
130;227;0.114240;50.692040
140;198;0.127870;58.732158
150;307;0.145400;67.530915
160;285;0.163260;77.164359
170;294;0.187530;87.504642
180;44;0.210890;98.998032
190;329;0.228050;110.855720
200;437;0.245440;122.529719
210;38;0.266930;134.431682
220;16;0.282700;146.544226
230;335;0.304950;158.920468
240;373;0.329750;171.271104
250;21;0.350100;184.263095
260;418;0.367620;197.412975
270;60;0.385190;211.563846
280;135;0.400010;225.862393
290;399;0.411330;240.029483
300;40;0.428530;254.348005
310;59;0.454500;269.658199
320;50;0.474030;285.397063
330;4;0.488390;301.097097
340;164;0.506520;317.015481
350;425;0.520210;333.912271
360;310;0.538700;351.001744
370;302;0.546770;368.138709
380;356;0.566940;384.974220
390;461;0.587580;402.046896
400;151;0.609240;418.942555
410;79;0.627250;436.171976
420;269;0.642480;453.480668
430;466;0.658210;471.134209
440;46;0.680690;488.774089
450;309;0.700780;505.151538
460;387;0.722630;522.278725
470;282;0.749480;539.546117
480;288;0.815790;556.133259
490;238;0.875900;573.198235
