k;seed;inf;tim
0;1;0.000000;0.001232
10;3734;0.000000;16.299354
20;2040;0.000550;32.162317
30;3557;0.001850;47.410320
40;2751;0.003150;64.704409
50;1213;0.004400;80.317986
60;3609;0.005300;96.977742
70;3674;0.006450;113.351270
80;1576;0.006200;131.190331
90;3090;0.007300;147.921329
100;3779;0.008100;164.749897
110;3427;0.008600;181.287683
120;3599;0.009150;196.864631
130;3769;0.009550;213.659788
140;2064;0.009700;229.701395
150;1204;0.009500;245.018377
160;1235;0.009700;260.744202
170;2410;0.009550;275.920324
180;325;0.010300;292.336488
190;1607;0.010100;309.092009
200;2075;0.010250;325.273201
210;3011;0.009800;341.317417
220;3720;0.010300;357.230923
230;3092;0.009800;372.764336
240;1180;0.010350;389.088986
250;1369;0.010450;405.340209
260;3670;0.010450;420.811656
270;287;0.010400;437.266924
280;3490;0.010250;454.559370
290;2116;0.010150;471.996493
300;2743;0.010100;489.500092
310;3059;0.009850;506.306955
320;3269;0.010350;523.219381
330;439;0.010300;540.367080
340;3277;0.009800;557.945134
350;733;0.010450;574.935447
360;3672;0.010050;592.915494
370;3644;0.010100;612.349198
380;2958;0.010500;630.192455
390;2747;0.010350;646.051647
400;944;0.010200;662.050104
410;1490;0.010350;678.372352
420;2240;0.010800;695.530725
430;1800;0.010950;712.301726
440;2090;0.010000;729.331023
450;1804;0.010400;746.628357
460;3585;0.010750;763.026617
470;3710;0.010550;778.551022
480;557;0.010250;795.724370
490;2574;0.010050;812.272323
