k;seed;inf;tim
0;23;0.000000;0.001959
10;2738;0.000000;18.764602
20;322;0.000100;36.622435
30;526;0.000400;55.616927
40;628;0.000800;75.352564
50;4933;0.001000;93.302281
60;5780;0.001100;110.779200
70;5172;0.001650;128.300430
80;2027;0.001900;145.821064
90;3656;0.002250;163.402863
100;666;0.002800;180.977076
110;783;0.002850;198.502596
120;3079;0.003250;216.755890
130;2163;0.004450;234.489922
140;4757;0.004450;252.310547
150;1442;0.004600;269.987738
160;1949;0.005400;287.712252
170;2274;0.005700;305.480827
180;189;0.005650;323.235130
190;5007;0.005950;340.986482
200;4164;0.007200;358.804155
210;519;0.007900;376.654218
220;2023;0.007150;394.673452
230;247;0.008450;412.801041
240;467;0.008500;430.982533
250;4499;0.009000;449.501984
260;1210;0.008500;468.362488
270;3600;0.009300;486.372639
280;2010;0.009350;505.928707
290;2620;0.010000;524.617123
300;4810;0.009700;543.650028
310;5519;0.009850;562.974542
320;2701;0.009450;582.180650
330;3233;0.009650;600.676892
340;463;0.009650;618.995655
350;5194;0.009850;637.295366
360;1432;0.009950;655.563718
370;4373;0.010050;674.060982
380;4504;0.009300;692.411764
390;1931;0.010350;711.389330
400;3428;0.010000;729.850052
410;473;0.009700;748.281798
420;3729;0.009800;767.067539
430;6;0.009600;786.733563
440;3511;0.009500;807.005566
450;5247;0.010050;827.423808
460;4486;0.009750;847.960631
470;3561;0.009650;868.455954
480;4299;0.009800;888.896283
490;4816;0.009550;909.292802
