k;seed;inf;tim
0;499;0.000000;0.003714
10;475;0.000000;0.442877
20;448;0.000000;1.557761
30;426;0.000000;3.281938
40;375;0.000000;5.443452
50;254;0.000000;7.936065
60;217;0.000000;10.889326
70;196;0.000000;14.337438
80;208;0.000000;18.240215
90;130;0.000000;22.401165
100;233;0.007860;26.801249
110;392;0.026370;31.633363
120;345;0.051490;36.679765
130;378;0.169200;41.897790
140;302;0.313960;47.246307
150;243;0.437560;52.747567
160;137;0.510370;58.530558
170;382;0.692430;64.369261
180;384;0.843560;70.294381
190;486;0.834590;76.266646
200;126;0.865570;82.193388
210;472;0.993750;88.000184
220;229;0.999900;93.793012
230;476;1.000000;99.753124
240;455;1.000000;105.856146
250;411;0.999980;112.044902
260;386;1.000000;118.359218
270;366;1.000000;124.566398
280;351;1.000000;130.871002
290;338;1.000000;136.983989
300;321;1.000000;142.868322
310;308;1.000000;148.758820
320;295;1.000000;154.825731
330;285;1.000000;160.914093
340;275;1.000000;166.960802
350;265;1.000000;173.063792
360;242;1.000000;179.224874
370;221;1.000000;185.202471
380;171;0.997690;191.407469
390;153;0.999460;197.409092
400;129;1.000000;203.465592
410;111;1.000000;209.459815
420;94;1.000000;215.465296
430;80;1.000000;221.468808
440;70;1.000000;227.491304
450;58;1.000000;233.581625
460;48;1.000000;239.589721
470;38;1.000000;245.637882
480;27;1.000000;251.970230
490;16;1.000000;258.320277
