k;seed;inf;tim
0;499;0.000000;0.003321
10;451;0.000000;0.119500
20;259;0.000000;0.462507
30;188;0.000000;0.985522
40;232;0.000640;1.681632
50;166;0.002080;2.492669
60;365;0.004000;3.412706
70;358;0.006730;4.486396
80;202;0.009860;5.766163
90;145;0.015470;7.266279
100;154;0.028120;8.977544
110;207;0.039650;10.882051
120;93;0.052840;13.036624
130;408;0.075030;15.423618
140;494;0.091280;18.084005
150;423;0.117770;20.885331
160;344;0.133810;24.063141
170;192;0.159400;27.349464
180;277;0.182810;30.990403
190;179;0.209410;34.682426
200;205;0.240670;38.504593
210;64;0.281780;42.529994
220;90;0.304930;46.802082
230;482;0.346160;51.364230
240;111;0.390560;56.217467
250;44;0.442060;61.028064
260;498;0.483740;66.116523
270;113;0.528940;71.394355
280;444;0.584340;76.900722
290;180;0.625510;82.375587
300;353;0.665070;87.907476
310;318;0.708370;93.473941
320;156;0.751950;99.186300
330;341;0.791000;105.158048
340;321;0.830620;110.955191
350;42;0.870940;116.874335
360;108;0.906100;123.144890
370;164;0.926330;129.194182
380;243;0.945730;135.159965
390;95;0.968640;141.162352
400;364;0.982410;147.226453
410;468;0.991390;153.387940
420;19;0.996020;159.724403
430;465;0.998360;165.737936
440;296;0.999640;172.057200
450;386;0.999990;178.070057
460;15;0.999980;184.075088
470;297;1.000000;190.084258
480;163;1.000000;196.221099
490;79;1.000000;202.276860
