k;seed;inf;tim
0;499;0.000000;0.004024
10;440;0.000000;0.143878
20;204;0.000000;0.540166
30;188;0.000000;1.148295
40;149;0.000970;1.907708
50;133;0.001990;2.768133
60;388;0.003670;3.756559
70;4;0.006680;4.879981
80;219;0.009530;6.274981
90;128;0.015490;7.854812
100;293;0.027420;9.695140
110;430;0.038230;11.832935
120;11;0.053050;14.091750
130;431;0.074880;16.673696
140;311;0.092810;19.410000
150;233;0.115540;22.461541
160;155;0.132020;25.737776
170;277;0.157320;29.318165
180;51;0.180830;33.220522
190;178;0.207300;37.211951
200;120;0.241850;41.361659
210;466;0.282240;45.737523
220;206;0.304230;50.276746
230;141;0.341870;55.019545
240;111;0.386010;59.878746
250;161;0.429630;64.683907
260;175;0.477870;69.756736
270;242;0.519200;74.929182
280;9;0.574940;80.399614
290;319;0.624960;86.090232
300;134;0.665350;91.751406
310;91;0.715020;97.507926
320;307;0.755920;103.277074
330;379;0.775750;109.004709
340;6;0.833170;114.772595
350;41;0.877230;120.645264
360;295;0.903630;126.512049
370;198;0.925200;132.474130
380;296;0.952740;138.449220
390;249;0.970890;144.651456
400;428;0.983750;150.739975
410;271;0.990960;156.744360
420;354;0.996060;162.995796
430;24;0.998430;169.304337
440;464;0.999600;175.444159
450;18;0.999900;181.714658
460;339;1.000000;188.004176
470;284;0.999990;194.289412
480;138;1.000000;200.703886
490;56;1.000000;207.208868
