k;seed;inf;tim
0;271;0.000000;0.000153
10;482;0.000000;0.116632
20;173;0.000000;0.327237
30;328;0.000030;0.628523
40;1;0.000920;1.003936
50;163;0.005760;1.487060
60;436;0.008720;2.077383
70;303;0.015720;2.755482
80;200;0.027630;3.514529
90;419;0.030730;4.378279
100;293;0.040000;5.313581
110;53;0.050470;6.308143
120;427;0.061030;7.370986
130;47;0.074680;8.497427
140;259;0.080590;9.698023
150;378;0.106890;10.954618
160;275;0.108590;12.271968
170;226;0.132090;13.642085
180;433;0.151520;15.077770
190;62;0.174070;16.563622
200;432;0.210140;18.099217
210;358;0.239560;19.693449
220;441;0.266130;21.335910
230;267;0.299880;23.022232
240;325;0.324250;24.692649
250;181;0.355040;26.393076
260;318;0.371620;28.129352
270;277;0.402040;29.888251
280;320;0.451270;31.709841
290;457;0.482410;33.592661
300;478;0.507840;35.533887
310;334;0.539430;37.515248
320;211;0.548900;39.507939
330;162;0.612670;41.502807
340;319;0.648870;43.377325
350;153;0.688230;45.296982
360;10;0.735740;47.213493
370;472;0.760090;49.125872
380;490;0.819530;51.045225
390;337;0.863440;52.991528
400;249;0.896480;54.994024
410;229;0.928850;57.018861
420;356;0.949530;59.002853
430;74;0.979060;60.964261
440;227;0.998500;63.084799
450;183;1.000000;65.101422
460;296;1.000000;67.074018
470;413;1.000000;69.200486
480;116;1.000000;71.282816
490;56;1.000000;73.376146
