k;seed;inf;tim
0;271;0.000000;1.265586
1;481;0.000000;1.272140
2;13;0.000000;1.280959
3;499;0.000000;1.290741
4;303;0.000000;1.302450
5;18;0.000000;1.316191
6;135;0.000000;1.330586
7;485;0.000000;1.345591
8;21;0.000000;1.362587
9;163;0.000000;1.382124
10;479;0.000000;1.403420
11;491;0.000000;1.425091
12;483;0.000000;1.447201
13;395;0.000000;1.469820
14;68;0.000000;1.492949
15;12;0.000000;1.517723
16;266;0.000000;1.548306
17;284;0.000000;1.578320
18;278;0.000000;1.608633
19;173;0.000000;1.639187
20;499;0.000000;20.357908
21;40;0.000000;20.390735
22;37;0.000000;20.424727
23;174;0.000000;20.459162
24;263;0.000000;20.495516
25;440;0.000000;20.531994
26;158;0.000000;20.568643
27;388;0.000000;20.605581
28;476;0.000000;20.642983
29;124;0.000000;20.680797
30;416;0.000000;20.718813
31;214;0.000000;20.757178
32;210;0.000000;20.795726
33;333;0.000000;20.834803
34;328;0.000000;20.874000
35;308;0.000000;20.914988
36;182;0.000000;20.956508
37;297;0.000000;20.998817
38;381;0.000000;21.041441
39;327;0.000000;21.086195
40;364;0.000000;61.970513
41;276;0.000000;62.017530
42;399;0.000000;62.064841
43;44;0.000000;62.113759
44;149;0.000000;62.170093
45;317;0.000000;62.232331
46;427;0.000000;62.294883
47;370;0.000000;62.348136
48;237;0.000000;62.400417
49;258;0.000000;62.453370
50;200;0.000000;62.506672
51;17;0.000000;62.561613
52;238;0.000000;62.617997
53;240;0.000000;62.674765
54;462;0.000000;62.732456
55;125;0.000000;62.791215
56;313;0.000000;62.851153
57;426;0.000000;62.911830
58;91;0.000000;62.973384
59;397;0.000000;63.036636
60;8;0.000000;151.713924
61;161;0.000000;151.779589
62;77;0.000000;151.846897
63;190;0.000000;151.914190
64;40;0.000000;151.982540
65;160;0.000000;152.051477
66;379;0.000000;152.121141
67;405;0.000000;152.191903
68;223;0.000000;152.265026
69;1;0.000000;152.338114
70;275;0.000000;152.412381
71;408;0.000000;152.486812
72;436;0.000000;152.561812
73;112;0.000000;152.638540
74;145;0.000000;152.715395
75;494;0.000000;152.793019
76;61;0.000000;152.872307
77;53;0.000000;152.952274
78;269;0.000000;153.033863
79;222;0.000000;153.115580
80;394;0.000000;327.671323
81;55;0.000000;327.754747
82;428;0.000000;327.839089
83;15;0.000000;327.924691
84;304;0.000000;328.011201
85;270;0.000000;328.099324
86;256;0.000000;328.188257
87;442;0.000000;328.278051
88;465;0.000000;328.369141
89;46;0.000000;328.460624
90;437;0.000000;328.552786
91;482;0.000000;328.645482
92;225;0.000000;328.739597
93;14;0.000000;328.834730
94;147;0.000000;328.930309
95;376;0.000000;329.026992
96;79;0.000000;329.124658
97;282;0.000000;329.223324
98;261;0.000000;329.322996
99;287;0.000000;329.423733
100;459;0.000000;624.019821
101;192;0.000000;624.123438
102;66;0.000000;624.228231
103;393;0.000000;624.333303
104;360;0.000000;624.439377
105;43;0.000000;624.546348
106;45;0.000000;624.654548
107;293;0.000000;624.763450
108;298;0.000000;624.873570
109;441;0.000000;624.983841
110;2;0.000000;625.095906
111;344;0.000000;625.207658
112;405;0.000000;625.320996
113;425;0.000000;625.434613
114;80;0.000000;625.549312
115;419;0.000000;625.664131
116;212;0.000000;625.780071
117;199;0.000000;625.895603
118;407;0.000000;626.012719
119;94;0.000000;626.129490
120;249;0.000000;1089.130884
121;450;0.000000;1089.248635
122;375;0.000000;1089.366853
123;73;0.000000;1089.486109
124;350;0.000000;1089.605191
125;251;0.000000;1089.724683
126;259;0.000000;1089.845745
127;154;0.000000;1089.966858
128;247;0.000000;1090.087830
129;429;0.000000;1090.209115
130;402;0.000000;1090.330883
131;231;0.000000;1090.452972
132;474;0.000000;1090.575613
133;205;0.000000;1090.697780
134;71;0.000000;1090.821299
135;30;0.000000;1090.946600
136;121;0.000000;1091.070965
137;52;0.000000;1091.197454
138;175;0.000000;1091.324794
139;336;0.000000;1091.451760
140;450;0.000000;1781.266186
141;181;0.000000;1781.395750
142;351;0.000000;1781.525832
143;361;0.000000;1781.656820
144;95;0.000000;1781.788509
145;272;0.000000;1781.920420
146;262;0.000000;1782.053536
147;445;0.000000;1782.186425
148;188;0.000000;1782.319722
