k;seed;inf;tim
0;499;0.000000;0.004269
10;416;0.000000;0.167453
20;182;0.000000;0.634587
30;200;0.000390;1.406395
40;253;0.003560;2.461662
50;217;0.010140;3.790361
60;449;0.016600;5.347370
70;497;0.030950;7.129100
80;454;0.046060;9.194861
90;425;0.061200;11.513316
100;363;0.082300;14.106349
110;432;0.104910;17.019662
120;105;0.128500;20.254665
130;0;0.145020;23.595594
140;201;0.180850;27.310393
150;398;0.219410;31.534606
160;202;0.251670;35.860302
170;78;0.279130;40.339903
180;180;0.315900;45.126026
190;392;0.356150;50.132080
200;233;0.401120;54.793315
210;346;0.436240;59.958997
220;377;0.492520;65.397493
230;430;0.535070;71.023741
240;92;0.575330;76.739961
250;415;0.615750;82.305597
260;37;0.638320;88.086217
270;252;0.695940;94.443861
280;379;0.731600;100.935036
290;279;0.776230;107.704438
300;344;0.810560;114.345918
310;126;0.846170;121.012201
320;467;0.873800;127.705928
330;334;0.908220;134.733512
340;231;0.927430;141.983778
350;16;0.946910;149.232988
360;223;0.964870;156.236732
370;76;0.971450;162.942827
380;332;0.983650;169.601440
390;243;0.990140;176.338738
400;50;0.994400;183.149486
410;140;0.997750;189.850565
420;43;0.998920;196.797970
430;274;0.999710;203.878979
440;275;0.999890;210.726678
450;393;0.999990;217.195765
460;317;0.999990;223.504718
470;265;1.000000;230.024168
480;129;1.000000;236.989292
490;44;1.000000;243.931294
