k;seed;inf;tim
0;263;0.000000;0.000151
10;99;0.000000;0.240037
20;485;0.000000;0.760433
30;95;0.000000;1.462506
40;244;0.000000;2.348984
50;167;0.000000;3.426351
60;92;0.000000;4.639314
70;380;0.000000;5.979043
80;131;0.000000;7.375069
90;76;0.000000;8.819988
100;29;0.000000;10.349940
110;344;0.000000;11.870936
120;197;0.000000;13.484593
130;94;0.000000;15.018768
140;439;0.000000;16.626853
150;181;0.000000;18.271718
160;267;0.000000;19.968605
170;372;0.000000;21.694641
180;350;0.001030;23.473119
190;116;0.007540;25.274835
200;53;0.062820;27.133829
210;195;0.138940;28.996069
220;402;0.207760;31.021605
230;480;0.382270;33.055270
240;206;0.572290;35.176141
250;163;0.511510;37.268854
260;122;0.767330;39.440531
270;18;0.999480;41.661091
280;299;1.000000;43.901350
290;390;1.000000;46.115750
300;341;1.000000;48.244203
310;56;1.000000;50.350002
320;199;1.000000;52.467563
330;360;1.000000;54.597275
340;443;1.000000;56.796454
350;388;1.000000;58.986216
360;71;1.000000;61.210917
370;343;1.000000;63.357558
380;468;1.000000;65.534153
390;451;1.000000;67.693843
400;408;1.000000;69.871641
410;438;1.000000;72.136885
420;319;1.000000;74.279873
430;312;1.000000;76.430795
440;303;1.000000;78.551786
450;48;1.000000;80.649943
460;21;1.000000;82.727511
470;72;1.000000;84.842135
480;200;1.000000;86.981445
490;247;1.000000;89.207159
