k;seed;inf;tim
0;499;0.000000;0.004237
10;448;0.000000;0.171424
20;176;0.000000;0.553553
30;450;0.001380;1.165006
40;315;0.006780;2.028962
50;476;0.012350;3.176148
60;253;0.025820;4.653707
70;127;0.033440;6.412731
80;201;0.044720;8.429579
90;202;0.064180;10.689798
100;63;0.073710;13.206445
110;310;0.101800;15.970877
120;486;0.126920;19.013977
130;445;0.150030;22.272072
140;346;0.184630;25.829738
150;396;0.215770;29.628403
160;188;0.249730;33.663784
170;420;0.286540;38.009045
180;423;0.326530;42.504121
190;279;0.368270;47.332662
200;28;0.412490;52.272555
210;100;0.457740;57.481907
220;400;0.498390;62.792737
230;487;0.541100;68.405134
240;277;0.573590;74.138337
250;474;0.617930;80.105434
260;92;0.659320;86.145133
270;0;0.691650;92.254762
280;80;0.716750;98.553357
290;409;0.756860;104.888847
300;118;0.792260;111.224218
310;402;0.826220;117.790981
320;43;0.862710;124.437162
330;418;0.887660;131.129982
340;381;0.914340;137.855181
350;294;0.934660;144.590852
360;296;0.955540;151.376634
370;382;0.970850;158.373053
380;13;0.980120;165.285711
390;265;0.987040;172.105461
400;283;0.993100;178.797057
410;371;0.996290;185.755313
420;47;0.998590;192.884141
430;271;0.999600;199.948799
440;29;0.999940;206.872947
450;414;0.999970;213.904443
460;317;1.000000;220.861468
470;272;1.000000;227.819499
480;148;1.000000;234.605321
490;96;1.000000;241.481876
