k;seed;inf;tim
0;271;0.000000;0.000177
10;71;0.000000;0.390448
20;351;0.000600;0.990946
30;40;0.002600;1.810648
40;293;0.005500;2.931153
50;30;0.014000;4.374026
60;239;0.024400;6.087761
70;7;0.028900;8.066928
80;149;0.029100;10.167488
90;422;0.037500;12.311669
100;69;0.046000;14.566981
110;482;0.061000;16.991261
120;298;0.068500;19.564086
130;365;0.074900;22.285250
140;66;0.076100;25.046275
150;109;0.084000;27.862706
160;335;0.093200;30.747685
170;291;0.104100;33.726345
180;469;0.117600;36.808172
190;142;0.125500;39.978598
200;348;0.132300;43.227712
210;178;0.142600;46.547604
220;148;0.160400;49.935840
230;16;0.163600;53.408211
240;358;0.183000;56.953920
250;330;0.199300;60.573721
260;57;0.210600;64.264326
270;49;0.234100;68.043052
280;124;0.251000;71.897700
290;176;0.259400;75.803601
300;337;0.274800;79.754503
310;236;0.285700;83.756739
320;52;0.290700;87.800574
330;367;0.291300;91.872194
340;169;0.307500;95.974206
350;72;0.311100;100.115880
360;120;0.325900;104.300881
370;302;0.340700;108.526427
380;183;0.355500;112.789722
390;151;0.366800;117.094750
400;102;0.380600;121.442317
410;377;0.400300;125.838263
420;362;0.436800;130.275285
430;449;0.430600;134.754830
440;455;0.471400;139.259777
450;254;0.483000;143.796303
460;366;0.518000;148.367113
470;414;0.546500;152.968305
480;216;0.599500;157.610474
490;171;0.698900;162.268476
