k;seed;inf;tim
0;271;0.000100;0.000122
10;60;0.002610;1.185030
20;122;0.015270;3.011504
30;6;0.025660;5.702839
40;416;0.029550;8.741700
50;49;0.035280;11.904994
60;26;0.042620;15.300777
70;69;0.060910;19.010622
80;262;0.072740;22.860329
90;487;0.073350;26.810742
100;68;0.083640;30.808218
110;389;0.088780;34.886912
120;89;0.101350;39.099320
130;221;0.111630;43.343306
140;270;0.120840;47.643177
150;180;0.131230;52.008321
160;206;0.149710;56.393230
170;244;0.181350;60.692421
180;354;0.215220;65.065873
190;334;0.277260;69.505384
