k;seed;inf;tim
0;271;0.000000;0.000032
10;497;0.000760;0.422129
20;435;0.003910;0.969063
30;496;0.008710;1.659236
40;244;0.016430;2.500227
50;155;0.024570;3.517372
60;427;0.033120;4.724880
70;421;0.045060;6.094515
80;466;0.057690;7.659562
90;8;0.069860;9.402384
100;382;0.089330;11.290472
110;93;0.101120;13.350446
120;170;0.114300;15.580211
130;105;0.131150;17.957859
140;83;0.144730;20.459016
150;178;0.158090;23.106991
160;471;0.176100;26.051050
170;450;0.192890;29.032020
180;153;0.211760;32.041620
190;167;0.243380;35.170325
