k;seed;inf;tim
0;17;0.000000;0.000027
1;76;0.000100;0.003319
2;96;0.000500;0.006287
3;97;0.001500;0.009046
4;82;0.002600;0.011855
5;31;0.003000;0.014745
6;4;0.005100;0.017795
7;11;0.005500;0.021021
8;61;0.006800;0.024353
9;86;0.008500;0.027852
10;95;0.008700;0.031469
11;84;0.009000;0.035147
12;107;0.011400;0.038909
13;59;0.012800;0.042795
14;12;0.014400;0.046678
15;33;0.015700;0.050607
16;35;0.019500;0.054606
17;30;0.021800;0.058599
18;64;0.025900;0.062735
19;36;0.029000;0.066925
20;62;0.033200;0.071158
21;83;0.039000;0.075425
22;78;0.045900;0.079747
23;109;0.054500;0.084124
24;53;0.059600;0.088552
25;73;0.067000;0.093119
26;2;0.075800;0.097733
27;63;0.082100;0.102404
28;67;0.086200;0.107137
29;108;0.093200;0.111936
30;79;0.095300;0.116817
31;72;0.100600;0.121744
32;105;0.108200;0.126706
33;26;0.106700;0.131703
34;0;0.114500;0.136758
35;27;0.117600;0.141905
36;54;0.118900;0.147069
37;87;0.122700;0.152249
38;68;0.131500;0.157483
39;71;0.142200;0.162759
40;65;0.152100;0.168101
41;1;0.161100;0.173477
42;3;0.181900;0.178878
43;81;0.190700;0.184333
44;56;0.210200;0.189849
45;93;0.236800;0.195419
46;77;0.240300;0.201029
47;106;0.244300;0.206683
48;44;0.246900;0.212391
49;92;0.251100;0.218108
50;5;0.256000;0.223865
51;98;0.259600;0.229648
52;43;0.260700;0.235452
53;102;0.263700;0.241302
54;94;0.270800;0.247184
55;75;0.273500;0.253110
56;40;0.281200;0.259032
57;21;0.280900;0.265011
58;14;0.292600;0.271007
59;80;0.300500;0.277071
60;49;0.308200;0.283139
61;28;0.304900;0.289254
62;29;0.303500;0.295396
63;24;0.312900;0.301551
64;48;0.321800;0.307735
65;6;0.320700;0.313945
66;47;0.320000;0.320185
67;25;0.328400;0.326522
68;41;0.341700;0.332841
69;55;0.338800;0.339177
70;22;0.343300;0.345539
71;32;0.346900;0.351948
72;45;0.357900;0.358371
73;88;0.366300;0.364816
74;90;0.376100;0.371289
75;8;0.394800;0.377785
76;57;0.402700;0.384333
77;70;0.406300;0.390940
78;100;0.425300;0.397534
79;7;0.432700;0.404155
80;39;0.428800;0.410783
81;46;0.438900;0.417427
82;34;0.439700;0.424084
83;85;0.435000;0.430751
84;9;0.440600;0.437460
85;18;0.445200;0.444215
86;42;0.454100;0.450974
87;99;0.455700;0.457764
88;19;0.452800;0.464563
89;101;0.460300;0.471395
90;58;0.459400;0.478226
91;66;0.475400;0.485080
92;60;0.484200;0.491970
93;91;0.486200;0.498896
94;104;0.496500;0.505808
95;38;0.496400;0.512837
96;74;0.517100;0.519862
97;50;0.524000;0.526875
98;51;0.528800;0.533929
99;16;0.540100;0.541015
100;52;0.566800;0.548112
101;69;0.597300;0.555229
102;37;0.601000;0.562362
103;15;0.613700;0.569539
104;20;0.616600;0.576713
105;10;0.619400;0.583924
106;103;0.634100;0.591149
107;13;0.673600;0.598397
108;89;0.782200;0.605663
109;23;1.000000;0.612942
