k;seed;inf;tim
0;17;0.000000;0.000032
1;76;0.000500;0.003311
2;96;0.001600;0.005863
3;92;0.003900;0.008475
4;86;0.004200;0.011236
5;31;0.004900;0.014172
6;82;0.005900;0.017338
7;11;0.006700;0.020612
8;4;0.008400;0.024011
9;95;0.008900;0.027519
10;84;0.010200;0.031105
11;12;0.013800;0.034748
12;61;0.013200;0.038444
13;59;0.015200;0.042187
14;33;0.017100;0.045974
15;107;0.018600;0.049814
16;35;0.023200;0.053719
17;30;0.026700;0.057700
18;62;0.027300;0.061736
19;83;0.038100;0.065846
20;106;0.043800;0.070005
21;72;0.048700;0.074246
22;36;0.053100;0.078531
23;109;0.057000;0.082911
24;53;0.068400;0.087362
25;78;0.081000;0.091930
26;79;0.076800;0.096538
27;63;0.081500;0.101218
28;64;0.089100;0.105967
29;2;0.099100;0.110776
30;69;0.101000;0.115656
31;98;0.100600;0.120593
32;108;0.105500;0.125568
33;54;0.111300;0.130613
34;73;0.114500;0.135717
35;0;0.112800;0.140890
36;105;0.117400;0.146107
37;27;0.119300;0.151340
38;26;0.121700;0.156634
39;71;0.127400;0.161958
40;87;0.135600;0.167341
41;1;0.147000;0.172759
42;65;0.161800;0.178197
43;3;0.184800;0.183704
44;56;0.213500;0.189248
45;67;0.229800;0.194849
46;44;0.241300;0.200469
47;81;0.245800;0.206154
48;102;0.252400;0.211858
49;94;0.244000;0.217574
50;77;0.258700;0.223326
51;43;0.264900;0.229126
52;68;0.266200;0.234946
53;21;0.274400;0.240789
54;75;0.282100;0.246668
55;14;0.291600;0.252592
56;5;0.292400;0.258542
57;80;0.296700;0.264525
58;49;0.303600;0.270543
59;24;0.304000;0.276602
60;93;0.317100;0.282685
61;28;0.310600;0.288795
62;40;0.319000;0.294931
63;47;0.323400;0.301115
64;100;0.321300;0.307300
65;6;0.334000;0.313524
66;25;0.329800;0.319799
67;41;0.335900;0.326120
68;48;0.343500;0.332455
69;29;0.341700;0.338796
70;55;0.350800;0.345188
71;32;0.354000;0.351589
72;45;0.362600;0.358051
73;88;0.381400;0.364499
74;22;0.396500;0.370975
75;8;0.401500;0.377520
76;57;0.416000;0.384073
77;90;0.424400;0.390680
78;7;0.431000;0.397297
79;99;0.436400;0.403923
80;46;0.432200;0.410596
81;38;0.436200;0.417273
82;18;0.444600;0.423964
83;39;0.455500;0.430718
84;85;0.455200;0.437513
85;19;0.452100;0.444314
86;70;0.454300;0.451147
87;34;0.460800;0.457989
88;60;0.467100;0.464843
89;66;0.467600;0.471711
90;101;0.469300;0.478613
91;42;0.480500;0.485516
92;9;0.491300;0.492429
93;58;0.496400;0.499366
94;91;0.512000;0.506320
95;104;0.525100;0.513325
96;74;0.521800;0.520303
97;50;0.523900;0.527308
98;51;0.539600;0.534340
99;16;0.569400;0.541391
100;52;0.581900;0.548468
101;97;0.595000;0.555567
102;37;0.602100;0.562718
103;20;0.606500;0.569851
104;10;0.617400;0.577064
105;15;0.621200;0.584297
106;103;0.630600;0.591557
107;13;0.672700;0.598815
108;89;0.784900;0.606116
109;23;1.000000;0.613439
