k;seed;inf;tim
0;20;0.000000;0.000037
1;70;0.000000;0.003539
2;83;0.000000;0.007204
3;82;0.000000;0.011036
4;81;0.000000;0.014975
5;80;0.000000;0.018943
6;79;0.003800;0.022998
7;108;0.019700;0.027067
8;86;0.033500;0.031166
9;56;0.035000;0.035301
10;101;0.049700;0.039477
11;111;0.048800;0.043704
12;62;0.050500;0.048067
13;14;0.052500;0.052554
14;89;0.056700;0.057145
15;103;0.060100;0.061786
16;4;0.067000;0.066507
17;2;0.073900;0.071329
18;85;0.083100;0.076252
19;7;0.089700;0.081268
20;15;0.095000;0.086337
21;78;0.099100;0.091462
22;64;0.103400;0.096655
23;46;0.106200;0.101879
24;76;0.108200;0.107134
25;5;0.114900;0.112457
26;8;0.123900;0.117823
27;67;0.130200;0.123220
28;38;0.136600;0.128699
29;68;0.132800;0.134213
30;98;0.153000;0.139773
31;87;0.155800;0.145345
32;66;0.163900;0.150975
33;84;0.172500;0.156661
34;59;0.174900;0.162419
35;47;0.171300;0.168194
36;57;0.181200;0.174054
37;94;0.181700;0.179911
38;37;0.183900;0.185855
39;17;0.189900;0.191838
40;75;0.189500;0.197892
41;43;0.194900;0.203931
42;72;0.201300;0.210054
43;9;0.202300;0.216193
44;39;0.203300;0.222393
45;11;0.205700;0.228656
46;107;0.215000;0.234945
47;41;0.219200;0.241280
48;30;0.227100;0.247657
49;29;0.234100;0.254081
50;74;0.235400;0.260565
51;0;0.240200;0.267112
52;24;0.243700;0.273651
53;93;0.244100;0.280220
54;65;0.250400;0.286838
55;58;0.252600;0.293480
56;10;0.247000;0.300153
57;3;0.248900;0.306876
58;42;0.257000;0.313633
59;28;0.260300;0.320368
60;71;0.253700;0.327171
61;109;0.260400;0.334013
62;22;0.266600;0.340851
63;53;0.265000;0.347719
64;90;0.271400;0.354625
65;60;0.278300;0.361552
66;44;0.286000;0.368522
67;1;0.289000;0.375544
68;48;0.300700;0.382585
69;32;0.305000;0.389664
70;91;0.313700;0.396769
71;61;0.312100;0.403931
72;45;0.317300;0.411143
73;73;0.316400;0.418388
74;34;0.318600;0.425613
75;31;0.318400;0.432867
76;50;0.319000;0.440185
77;49;0.328700;0.447547
78;95;0.327000;0.454932
79;63;0.339700;0.462324
80;25;0.345500;0.469729
81;27;0.351400;0.477158
82;51;0.359700;0.484631
83;97;0.361900;0.492181
84;99;0.363000;0.499762
85;33;0.367200;0.507370
86;6;0.366000;0.514993
87;105;0.385200;0.522662
88;96;0.388800;0.530380
89;104;0.387200;0.538099
90;100;0.397000;0.545851
91;110;0.398400;0.553636
92;102;0.399200;0.561453
93;52;0.409100;0.569304
94;35;0.416500;0.577186
95;26;0.429600;0.585105
96;54;0.427000;0.593050
97;16;0.440600;0.601024
98;55;0.446800;0.609039
99;21;0.460100;0.617091
100;19;0.458600;0.625163
101;77;0.468800;0.633236
102;40;0.487600;0.641360
103;18;0.502100;0.649516
104;92;0.516000;0.657692
105;106;0.534000;0.665920
106;12;0.553900;0.674148
107;13;0.561100;0.682421
108;69;0.579200;0.690717
109;23;0.684000;0.699046
