k;seed;inf;tim
0;1;1072.341725;0.000174
10;3498;1083.418175;7.261675
20;3575;1094.190975;14.535387
30;3721;1104.698275;21.817429
40;3640;1115.433150;29.105006
50;3576;1125.877500;36.403356
60;3092;1136.448250;43.725985
70;3492;1146.972150;51.071047
80;3252;1156.993725;58.422694
90;3674;1167.681500;65.764516
100;3466;1178.513600;73.101539
110;3714;1188.983650;80.445104
120;3643;1199.088825;87.810660
130;3262;1209.503875;95.177362
140;3259;1219.495975;102.540243
150;3455;1229.973775;109.906035
160;3652;1240.396350;117.278654
170;3628;1250.334075;124.655415
180;2750;1260.838625;132.040677
190;3307;1270.766675;139.428905
200;3341;0.000000;146.829588
