k;seed;inf;tim
0;23;1618.659600;0.001683
10;1260;1630.516625;17.300014
20;942;1641.860900;34.588183
30;2321;1653.054375;51.909625
40;1033;1663.750200;69.257627
50;5826;1675.141525;86.665425
60;2027;1685.990275;104.124282
70;3977;1697.308500;121.628587
80;3992;1708.430400;139.141548
90;5642;1718.321975;156.656586
100;3934;1729.151275;174.183576
110;2713;1739.079275;191.761516
120;3794;1749.436300;209.371485
130;2090;1759.749100;226.998021
140;2369;1770.152200;244.671945
150;4571;1779.461275;262.351509
160;600;1788.530850;280.053711
170;3255;1798.345450;297.829429
180;1442;1807.561675;315.587617
190;689;1816.132000;333.380274
200;3491;1824.050125;351.228375
