k;seed;inf;tim
0;271;289.123570;0.000113
10;231;322.621460;3.376593
20;27;342.380260;7.046493
30;232;350.974540;10.800535
40;418;359.064700;14.611431
50;401;365.961790;18.474835
60;303;371.397620;22.377453
70;73;377.349920;26.308136
80;6;386.508330;30.277869
90;219;392.670610;34.305480
100;396;398.616630;38.380492
110;405;404.785350;42.481477
120;71;409.319200;46.621272
130;134;414.095510;50.799318
140;269;417.601760;55.004853
150;351;420.733410;59.230625
160;262;424.176040;63.476501
170;345;427.951170;67.736668
180;417;432.318060;72.004993
190;305;436.293030;76.286882
200;43;439.661320;80.586805
210;146;443.198600;84.901176
220;180;447.059580;89.232381
230;376;450.672000;93.574355
240;493;453.971290;97.933335
250;307;456.264390;102.302274
