k;seed;inf;tim
0;499;0.000000;0.002398
10;431;236.308110;5.872642
20;159;327.880640;15.594998
30;251;349.892400;26.506766
40;475;361.634870;37.779689
50;350;371.333920;49.274466
60;496;382.033610;60.948682
70;193;391.235720;72.817905
80;344;399.186720;84.851586
90;253;407.151680;97.063213
100;121;413.885200;109.429391
110;80;420.462590;121.930957
120;381;426.504680;134.519240
130;416;431.153680;147.191492
140;334;435.798470;159.941670
150;172;440.737760;172.773754
160;157;445.478780;185.705635
170;498;449.792170;198.718892
180;185;453.864730;211.807781
190;199;458.134740;225.221890
200;123;461.428770;239.239971
210;113;464.474670;252.544127
220;254;467.915970;265.874913
230;399;470.537760;279.263016
240;68;472.988090;292.731256
250;266;475.538830;306.266913
260;1056;0.000000;0.000000
