k;seed;inf;tim
0;499;0.000000;0.002670
10;435;241.211190;5.911515
20;159;330.866320;15.665805
30;251;349.809260;26.557464
40;263;361.862630;37.764998
50;497;371.004670;49.176108
60;496;380.898170;60.745021
70;205;390.335190;72.507865
80;440;398.461990;84.432421
90;253;406.580060;96.489331
100;383;413.337370;108.656382
110;64;420.076510;120.944326
120;408;426.140120;133.346438
130;182;430.799700;145.830793
140;154;435.087140;158.386098
150;418;440.020840;171.022340
160;311;444.646540;183.758105
170;436;449.134250;196.560298
180;99;452.985350;209.436923
190;457;457.282230;222.394349
200;131;460.920910;235.423967
210;421;464.045590;248.500033
220;234;467.477010;261.647660
230;270;470.190170;274.885325
240;405;472.460530;288.166382
250;132;475.187420;301.451759
260;1056;0.000000;0.000000
