k;seed;inf;tim
0;33;64.296550;25.356418
10;15;155.451550;953.146759
20;22;206.130150;2221.632233
30;14;241.697710;3666.654838
40;265;268.452390;5255.415829
50;41;288.486030;6989.488615
60;48;303.868880;8853.793080
70;44;316.135340;10778.532814
80;61;326.266060;12741.391703
90;63;334.949440;14754.734857
100;74;343.174420;16776.061340
110;454;352.032990;18732.109277
120;87;359.416160;20529.329281
130;181;367.362840;22292.093253
140;237;373.223140;24033.174105
150;100;379.072520;25746.954269
160;96;383.182820;27429.034922
170;119;386.267940;29083.112714
180;183;388.871590;30763.353451
190;116;391.219540;32411.600615
200;171;395.412630;33997.529096
210;154;399.516100;35549.497929
220;102;405.065320;37095.982615
230;195;410.702210;38597.725388
240;207;416.840460;40090.014012
250;210;425.383240;41527.609943
