k;seed;inf;tim
0;22007;6.517180;52.521360
10;486;187.974780;850.803843
20;251;240.698910;514.586668
30;477;289.562930;556.580106
40;19;333.523190;817.819878
50;26;358.631260;1130.323334
60;250;381.249280;757.451195
70;312;397.073570;912.905871
80;120;409.236890;809.181264
90;21;419.729560;854.652748
100;345;428.359110;979.926416
110;238;434.050630;965.853805
120;271;439.205780;793.044867
130;266;443.297570;805.893696
140;20;447.563640;910.512728
150;58;451.672840;835.310103
160;390;454.821920;639.679284
170;437;458.154970;808.449476
180;297;460.949300;819.988110
190;318;463.808640;720.694854
200;320;466.615000;913.588017
210;5;469.012420;773.380297
220;38;471.177000;995.190620
230;298;473.444410;782.509013
240;285;475.539440;1134.026708
250;59;477.631730;926.324219
260;263;479.637680;986.346378
