k;seed;inf;tim
0;271;68.036030;0.000031
10;252;157.524660;1.038504
20;356;226.448860;2.846224
30;447;282.710390;5.251600
40;363;326.493970;8.145219
50;383;357.184580;11.368357
60;8;380.372620;14.834071
70;120;396.535380;18.463033
80;322;410.910500;22.213490
90;107;422.892060;26.079387
100;156;432.469020;30.020458
110;106;440.252740;34.026393
120;31;447.393640;38.084466
130;424;453.369780;42.192739
140;28;457.734600;46.338068
150;441;461.757260;50.510381
160;233;465.932040;54.703575
170;319;469.600420;58.919437
180;116;473.142610;63.161912
190;243;476.501160;67.431649
200;48;479.333080;71.730886
210;186;481.977990;76.051344
220;126;484.099370;80.393877
230;422;486.012320;84.750290
240;221;487.566960;89.113342
250;253;489.089360;93.492473
260;376;0.073333;97.886773
