k;seed;inf;tim
0;499;0.000000;0.004246
10;253;119.943410;2.928309
20;26;214.563190;10.048152
30;447;274.631820;20.228569
40;213;323.742850;32.800538
50;367;355.540120;47.475091
60;438;378.251420;62.718749
70;283;395.251080;78.846100
80;322;409.098340;95.146530
90;410;421.835540;112.981991
100;23;431.234430;130.537102
110;79;438.276850;148.474293
120;387;444.832520;168.162712
130;106;450.263930;187.620714
140;342;454.472720;205.388045
150;356;457.956560;223.502077
160;455;461.416240;241.002810
170;363;464.725970;258.285394
180;319;468.094060;275.609594
190;339;471.025600;293.290129
200;2;473.692400;311.888437
210;459;476.346480;329.917737
220;389;478.895190;349.122231
230;89;481.179480;367.435141
240;353;483.323050;386.234797
250;2017;0.000000;0.000000
