k;seed;inf;tim
0;271;442.273360;0.000093
10;19;449.743510;5.483234
20;90;457.496650;11.005804
30;238;461.951290;16.556541
40;246;467.227200;22.133945
50;44;470.494950;27.737398
60;158;473.549020;33.347602
70;494;476.396210;38.980576
80;93;478.277270;44.607350
90;268;481.211320;50.245081
100;212;482.604830;55.885424
110;29;484.531510;61.528979
120;68;486.091490;67.169048
130;497;487.122400;72.815511
140;263;488.079790;78.458500
150;256;489.602930;84.098081
160;287;490.566540;89.733822
170;445;491.235980;95.363042
180;323;492.301840;100.987321
190;418;492.794770;106.608285
200;290;493.720810;112.221887
210;52;494.417860;117.831900
220;443;494.873800;123.433576
230;210;495.624090;129.030435
240;373;496.015580;134.622607
250;27;496.462840;140.210094
