k;seed;inf;tim
0;499;0.000000;0.003240
10;3;449.585560;19.909685
20;278;460.050530;41.282154
30;304;466.071160;62.802895
40;74;470.798410;84.442997
50;45;474.721930;106.161807
60;46;478.193450;127.933017
70;32;481.392870;149.759513
80;5;483.697350;171.632621
90;91;485.845270;193.520852
100;55;487.573550;215.425151
110;237;489.232720;237.352651
120;223;490.644780;259.279028
130;300;491.757410;281.203112
140;477;492.876170;303.130322
150;130;493.784620;325.056915
160;273;494.607280;346.968661
170;373;495.399540;368.874639
180;31;495.980230;390.785751
190;253;496.542530;412.655302
200;128;497.078300;434.517941
210;192;497.526070;456.362960
220;21;497.904950;478.161111
230;166;498.196150;499.927826
240;156;498.484350;521.678307
250;242;498.766070;543.408570
260;1056;0.000000;0.000000
