k;seed;inf;tim
0;271;442.258590;0.000093
10;19;449.766220;5.384257
20;90;457.519530;10.806076
30;157;462.066400;16.253023
40;485;467.290980;21.715225
50;126;470.614040;27.197965
60;490;473.557910;32.689241
70;73;476.381690;38.192932
80;161;478.276310;43.702574
90;163;481.080860;49.222197
100;440;482.606740;54.746736
110;395;484.468690;60.273547
120;68;486.099860;65.804889
130;182;487.093660;71.336576
140;81;488.015010;76.866040
150;152;489.563280;82.392872
160;15;490.447670;87.917672
170;133;491.255400;93.436755
180;491;492.301160;98.950979
190;401;492.843540;104.461320
200;290;493.726710;109.965594
210;130;494.421950;115.466426
220;138;494.883360;120.959258
230;210;495.638720;126.448035
240;373;496.013940;131.931635
250;264;496.484810;137.410609
