k;seed;inf;tim
0;271;66.673170;0.000102
10;344;97.167460;0.896312
20;442;174.012740;2.267498
30;12;213.556210;4.289095
40;485;228.996620;6.559746
50;192;244.692290;8.927087
60;26;263.953520;11.439381
70;70;276.424340;14.089370
80;24;288.008660;16.843335
90;402;297.342740;19.670799
100;263;306.602700;22.532699
110;384;317.267370;25.458117
120;63;325.785580;28.445359
130;90;334.140820;31.483927
140;345;342.458740;34.564908
150;242;350.959420;37.691703
160;125;360.378350;40.870719
170;134;368.721040;44.114054
180;354;376.087840;47.412352
190;334;385.915920;50.764295
200;437;394.909000;54.189902
210;16;402.963310;57.677058
220;294;411.167970;61.228937
230;95;416.498610;64.840481
240;27;421.015010;68.493881
250;396;425.167870;72.176229
