k;seed;inf;tim
0;21969;0.000000;6.141811
10;468;44.927060;66.518506
20;351;67.262760;109.600923
30;483;85.617940;129.176741
40;40;107.417620;201.472321
50;273;130.602770;281.693664
60;223;151.956170;261.375262
70;477;166.974330;225.213813
80;477;178.325710;246.128293
90;44;188.761500;459.787983
100;397;205.200340;651.497765
110;40;219.706770;331.574024
120;355;232.182090;432.621041
130;279;241.310920;385.502959
140;381;251.430660;392.981935
150;360;261.327190;445.412045
160;300;270.932060;460.988865
170;293;281.188260;445.400173
180;161;291.435160;567.561293
190;125;300.556260;436.475012
200;351;309.521710;465.956199
210;238;318.688430;490.499780
220;163;327.494090;590.039570
230;39;335.682430;549.482245
240;54;345.156360;542.608467
250;85;353.240480;566.933222
260;32;361.168980;530.843454
