k;seed;inf;tim
0;271;22.690500;0.000031
10;193;38.986830;0.296185
20;435;57.238770;0.679681
30;93;75.433770;1.166528
40;439;95.132960;1.760068
50;130;115.373520;2.479521
60;474;133.866430;3.328812
70;337;153.625560;4.294938
80;173;173.327040;5.397959
90;8;190.805070;6.627845
100;74;208.082590;7.962982
110;373;225.110780;9.422027
120;394;242.104630;11.003811
130;0;256.320910;12.691870
140;392;270.555660;14.469487
150;257;285.167580;16.349163
160;11;298.189160;18.321110
170;10;310.666660;20.374404
180;249;322.831060;22.503365
190;88;334.690840;24.717403
200;359;345.950180;27.007833
210;288;356.479910;29.374071
220;316;365.742860;31.804562
230;341;375.556620;34.298664
240;277;384.595530;36.856951
250;482;393.355200;39.474824
