k;seed;inf;tim
0;271;22.775780;0.000117
10;344;46.844430;0.345026
20;231;74.492410;0.863929
30;489;104.161590;1.628364
40;482;128.765180;2.629347
50;339;157.288010;3.852872
60;289;183.016400;5.341668
70;55;201.123810;7.036374
80;27;216.312660;8.901288
90;278;227.763810;10.887226
100;303;239.001220;12.990140
110;24;248.239580;15.203038
120;453;256.691220;17.501480
130;240;263.146640;19.874784
140;250;271.137290;22.296165
150;497;278.883290;24.744314
160;415;286.543760;27.216753
170;375;294.217410;29.708290
180;210;301.782760;32.217410
190;133;309.433720;34.742642
200;345;316.861020;37.284322
210;192;324.271990;39.843987
220;409;332.861220;42.443066
230;252;340.755310;45.087181
240;422;349.352180;47.785533
250;311;358.034260;50.533448
