k;seed;inf;tim
0;499;0.000000;0.002932
10;454;18.350220;0.206058
20;363;36.935460;0.695133
30;232;57.044910;1.530238
40;447;76.382800;2.759596
50;356;99.898550;4.460214
60;375;122.016430;6.710087
70;130;143.964300;9.439993
80;433;165.822350;12.710094
90;210;185.650750;16.481916
100;182;203.988350;20.686871
110;170;222.772550;25.316251
120;333;239.830570;30.168602
130;105;255.437220;35.383979
140;41;270.557120;41.174746
150;123;284.877450;47.397041
160;67;297.985250;53.859815
170;10;309.961190;60.376729
180;159;321.813510;67.293905
190;156;332.236630;74.349499
200;53;342.792510;82.342589
210;247;352.409140;90.496026
220;451;361.872010;98.567688
230;211;370.915820;106.665862
240;229;379.608490;114.664725
250;340;387.911140;122.850703
260;1056;0.000000;0.000000
