k;seed;inf;tim
0;499;0.000000;0.003012
10;454;18.406180;0.220090
20;363;36.660770;0.739408
30;262;57.028340;1.623396
40;205;76.096400;2.872302
50;204;99.701980;4.566109
60;248;121.974790;6.818470
70;202;144.596310;9.550556
80;169;165.246330;12.811255
90;212;184.889780;16.533000
100;144;204.131270;20.703291
110;410;223.357150;25.320167
120;333;240.907060;30.406374
130;278;255.948280;35.876070
140;195;270.938380;41.697509
150;266;285.291350;47.852802
160;383;298.023240;54.327093
170;92;310.008670;61.079888
180;147;321.909730;68.087422
190;131;332.236560;75.340661
200;53;342.513680;82.807357
210;288;352.310050;90.491121
220;252;361.509380;98.371995
230;31;370.559130;106.435967
240;344;379.423590;114.702188
250;346;387.744390;123.144712
260;1056;0.000000;0.000000
