k;seed;inf;tim
0;263;284.117850;0.000024
10;208;307.019230;3.142110
20;101;325.267080;6.418336
30;467;340.151540;9.818043
40;354;353.599120;13.304857
50;100;366.099030;16.876281
60;63;376.873050;20.505570
70;11;388.082740;24.209108
80;493;399.033370;27.988792
90;158;407.107770;31.827175
100;399;415.066920;35.709154
110;432;424.720170;39.665448
120;458;432.062320;43.684526
130;430;438.411830;47.738098
140;445;444.128940;51.830644
150;120;449.575760;55.962061
160;469;455.154360;60.127775
170;216;459.342840;64.322177
180;294;462.978140;68.537943
190;377;466.879370;72.780389
200;212;470.083400;77.036635
210;431;473.462700;81.311381
220;437;476.809830;85.592835
230;97;479.487200;89.889042
240;198;481.808640;94.199441
250;112;483.987140;98.522550
260;415;0.050000;102.858436
