k;seed;inf;tim
0;263;67.931920;0.000113
10;32;151.622410;0.956912
20;499;228.200500;2.689511
30;160;286.877660;5.102506
40;298;326.511700;7.968792
50;465;355.224540;11.150734
60;328;378.983300;14.546352
70;99;397.143370;18.143367
80;191;411.448060;21.891749
90;139;422.605260;25.741515
100;453;431.786490;29.668679
110;33;437.643410;33.660893
120;339;442.578310;37.691795
130;353;447.744260;41.761733
140;483;451.740310;45.866217
150;92;455.709120;50.000868
160;480;459.740900;54.170546
170;68;463.288150;58.379573
180;93;466.808590;62.620473
190;221;469.008310;66.881878
200;384;471.463010;71.158072
210;117;473.762510;75.449880
220;367;476.248910;79.754955
230;12;477.846990;84.071538
240;407;480.046770;88.391042
250;444;482.053090;92.727726
