k;seed;inf;tim
0;499;0.000000;0.002560
10;397;454.963010;14.458678
20;315;461.512210;30.099107
30;195;467.158380;45.787619
40;439;471.518230;61.530437
50;122;475.575630;77.325781
60;144;478.574240;93.151635
70;252;481.892190;109.012863
80;440;484.455760;124.877521
90;246;486.257710;140.725995
100;285;487.920830;156.575273
110;438;489.613720;172.438087
120;408;491.142620;188.327489
130;323;492.278530;204.209725
140;11;493.341430;220.110781
150;262;494.328160;236.016089
160;353;495.238410;251.891076
170;247;495.924340;267.766182
180;443;496.455430;283.638347
190;377;497.043810;299.524203
200;3;497.544280;315.384180
210;70;497.988880;331.218156
220;428;498.402130;347.023592
230;188;498.720530;362.817657
240;413;498.985480;378.616717
250;390;499.181900;394.396460
260;1056;0.000000;0.000000
