k;seed;inf;tim
0;263;45.537140;0.000115
10;311;98.260600;0.705890
20;242;156.520240;1.981406
30;84;191.042020;3.704206
40;473;206.369040;5.638422
50;147;221.110210;7.647268
60;269;239.627980;9.801767
70;103;256.767890;12.119340
80;28;268.530400;14.551570
90;160;278.856460;17.059098
100;76;289.547220;19.607143
110;336;301.646640;22.238399
120;206;311.983890;24.959373
130;480;322.234760;27.757729
140;235;331.961950;30.598759
150;251;342.615090;33.503415
160;353;355.212760;36.511192
170;328;364.706470;39.590395
180;457;372.400460;42.744821
190;14;382.903650;45.960263
200;111;391.269170;49.248558
210;217;397.160090;52.588548
220;42;404.187520;55.969248
230;330;412.484250;59.409398
240;298;419.228380;62.917540
250;118;423.270060;66.456454
